Temp,Sw,Pw
0,14.59,4.6
1,14.19,4.9
2,13.81,5.3
3,13.44,5.7
4,13.08,6.1
5,12.75,6.5
6,12.42,7.0
7,12.12,7.5
8,11.82,8.0
9,11.54,8.6
10,11.27,9.2
11,11.01,9.8
12,10.75,10.5
13,10.52,11.2
14,10.28,12.0
15,10.07,12.8
16,9.85,13.6
17,9.64,14.5
18,9.44,15.5
19,9.25,16.5
20,9.07,17.5
21,8.9,18.6
22,8.73,19.8
23,8.55,21.0
24,8.4,22.4
25,8.24,23.7
26,8.08,25.2
27,7.94,26.7
28,7.80,28.3
29,7.66,30.0
30,7.54,31.8
31,7.41,33.7
32,7.28,35.6
33,7.15,37.7
34,7.04,39.9
35,6.93,42.2
