    Time   Pump 2       LT     Flow 
     0.00    4.500    3.920    2.670
     0.10    4.500    3.920    2.670
     0.20    4.500    3.920    2.675
     0.30    4.500    3.920    2.680
     0.40    4.500    3.925    2.680
     0.50    4.500    3.925    2.685
     0.60    4.500    3.925    2.690
     0.70    4.500    3.925    2.690
     0.80    4.500    3.925    2.695
     0.90    4.500    3.925    2.700
     1.00    4.500    3.925    2.700
     1.10    4.500    3.925    2.700
     1.20    4.500    3.925    2.705
     1.30    4.500    3.925    2.710
     1.40    4.500    3.930    2.710
     1.50    4.500    3.930    2.710
     1.60    4.500    3.930    2.715
     1.70    4.500    3.930    2.720
     1.80    4.500    3.930    2.720
     1.90    4.500    3.930    2.720
     2.00    4.500    3.930    2.725
     2.10    4.500    3.930    2.730
     2.20    4.500    3.930    2.730
     2.30    4.500    3.930    2.735
     2.40    4.500    3.930    2.735
     2.50    4.500    3.930    2.735
     2.60    4.500    3.935    2.735
     2.70    4.500    3.930    2.735
     2.80    4.500    3.935    2.735
     2.90    4.500    3.935    2.735
     3.00    4.500    3.935    2.735
     3.10    4.500    3.935    2.735
     3.20    4.500    3.935    2.740
     3.30    4.500    3.935    2.740
     3.40    4.500    3.935    2.745
     3.50    4.500    3.935    2.750
     3.60    4.500    3.935    2.745
     3.70    4.500    3.935    2.750
     3.80    4.500    3.935    2.750
     3.90    4.500    3.935    2.750
     4.00    4.500    3.935    2.755
     4.10    4.500    3.935    2.755
     4.20    4.500    3.935    2.755
     4.30    4.500    3.940    2.755
     4.40    4.500    3.940    2.755
     4.50    4.500    3.940    2.755
     4.60    4.500    3.940    2.755
     4.70    4.500    3.940    2.755
     4.80    4.500    3.940    2.760
     4.90    4.500    3.940    2.765
     5.00    4.500    3.940    2.765
     5.10    4.500    3.940    2.765
     5.20    4.500    3.940    2.765
     5.30    4.500    3.945    2.765
     5.40    4.500    3.945    2.765
     5.50    4.500    3.945    2.765
     5.60    4.500    3.945    2.765
     5.70    4.500    3.945    2.765
     5.80    4.500    3.945    2.770
     5.90    4.500    3.945    2.770
     6.00    4.500    3.945    2.770
     6.10    4.500    3.945    2.770
     6.20    4.500    3.950    2.770
     6.30    4.500    3.945    2.765
     6.40    4.500    3.950    2.765
     6.50    4.500    3.950    2.765
     6.60    4.500    3.950    2.770
     6.70    4.500    3.950    2.765
     6.80    4.500    3.950    2.765
     6.90    4.500    3.950    2.765
     7.00    4.500    3.950    2.765
     7.10    4.500    3.955    2.765
     7.20    4.500    3.955    2.765
     7.30    4.500    3.955    2.765
     7.40    4.500    3.955    2.770
     7.50    4.500    3.955    2.770
     7.60    4.500    3.955    2.770
     7.70    4.500    3.955    2.770
     7.80    4.500    3.955    2.770
     7.90    4.500    3.955    2.770
     8.00    4.500    3.955    2.765
     8.10    4.500    3.955    2.765
     8.20    4.500    3.960    2.770
     8.30    4.500    3.960    2.770
     8.40    4.500    3.960    2.765
     8.50    4.500    3.960    2.770
     8.60    4.500    3.960    2.770
     8.70    4.500    3.960    2.770
     8.80    4.500    3.960    2.770
     8.90    4.500    3.960    2.770
     9.00    4.500    3.960    2.770
     9.10    4.500    3.965    2.775
     9.20    4.500    3.965    2.775
     9.30    4.500    3.965    2.775
     9.40    4.500    3.965    2.775
     9.50    4.500    3.965    2.775
     9.60    4.500    3.965    2.775
     9.70    4.500    3.965    2.775
     9.80    4.500    3.965    2.775
     9.90    4.500    3.970    2.780
    10.00    4.500    3.970    2.775
    10.10    4.500    3.970    2.775
    10.20    4.500    3.970    2.775
    10.30    4.500    3.970    2.775
    10.40    4.500    3.970    2.775
    10.50    4.500    3.970    2.775
    10.60    4.500    3.970    2.770
    10.70    4.500    3.970    2.770
    10.80    4.500    3.975    2.770
    10.90    4.500    3.975    2.770
    11.00    4.500    3.975    2.770
    11.10    4.500    3.975    2.770
    11.20    4.500    3.975    2.770
    11.30    4.500    3.980    2.770
    11.40    4.500    3.980    2.770
    11.50    4.500    3.980    2.770
    11.60    4.500    3.980    2.765
    11.70    4.500    3.980    2.765
    11.80    4.500    3.980    2.770
    11.90    4.500    3.985    2.770
    12.00    4.500    3.985    2.770
    12.10    4.500    3.985    2.770
    12.20    4.500    3.985    2.770
    12.30    4.500    3.985    2.770
    12.40    4.500    3.990    2.770
    12.50    4.500    3.990    2.770
    12.60    4.500    3.990    2.770
    12.70    4.500    3.990    2.775
    12.80    4.500    3.990    2.775
    12.90    4.500    3.990    2.775
    13.00    4.500    3.995    2.770
    13.10    4.500    3.995    2.775
    13.20    4.500    3.995    2.770
    13.30    4.500    3.995    2.770
    13.40    4.500    3.995    2.775
    13.50    4.500    3.995    2.775
    13.60    4.500    4.000    2.775
    13.70    4.500    4.000    2.775
    13.80    4.500    4.000    2.775
    13.90    4.500    4.000    2.775
    14.00    4.500    4.005    2.775
    14.10    4.500    4.005    2.770
    14.20    4.500    4.005    2.770
    14.30    4.500    4.005    2.770
    14.40    4.500    4.005    2.770
    14.50    4.500    4.010    2.770
    14.60    4.500    4.010    2.770
    14.70    4.500    4.010    2.770
    14.80    4.500    4.010    2.770
    14.90    4.500    4.010    2.770
    15.00    4.500    4.015    2.770
    15.10    4.500    4.015    2.765
    15.20    4.500    4.015    2.765
    15.30    4.500    4.015    2.765
    15.40    4.500    4.015    2.770
    15.50    4.500    4.020    2.770
    15.60    4.500    4.020    2.770
    15.70    4.500    4.020    2.770
    15.80    4.500    4.020    2.775
    15.90    4.500    4.020    2.770
    16.00    4.500    4.025    2.770
    16.10    4.500    4.025    2.770
    16.20    4.500    4.025    2.775
    16.30    4.500    4.025    2.770
    16.40    4.500    4.025    2.770
