Run No.,Plate Type,Sample,Date,Time,T1,T2,T3,T4,T5,Air Velocity,Voltage,Current
1,Pinned Plate,0,9/12/2023,15:14:00,68.30392,66.81172,64.96797,64.82735,25.14668,-7.84E-03,244.75,0.2991489
1,Pinned Plate,1,9/12/2023,15:14:21,69.55392,68.09298,66.24923,65.80391,25.12324,-7.84E-03,244.6939,0.2990277
1,Pinned Plate,2,9/12/2023,15:14:42,70.73361,69.56954,67.73361,67.38985,25.08809,-7.84E-03,244.6682,0.298957
1,Pinned Plate,3,9/12/2023,15:15:02,71.9836,70.63986,68.75706,68.27267,25.13887,-7.84E-03,244.623,0.2988963
1,Pinned Plate,4,9/12/2023,15:15:23,73.0461,71.66328,69.85078,69.58517,25.13106,-8.30E-03,244.4042,0.2985831
1,Pinned Plate,5,9/12/2023,15:15:44,74.16328,72.80391,71.03047,70.51485,25.10762,-7.84E-03,244.4937,0.2985831
1,Pinned Plate,6,9/12/2023,15:16:04,75.17892,73.88985,71.99922,71.46799,25.13106,-8.30E-03,244.5116,0.2985831
1,Pinned Plate,7,9/12/2023,15:16:25,76.50705,75.31174,73.42892,73.01485,25.1584,-8.30E-03,244.4633,0.2984619
1,Pinned Plate,8,9/12/2023,15:16:46,77.2336,75.92891,74.13204,73.64767,25.15059,-8.30E-03,244.4563,0.2984013
1,Pinned Plate,9,9/12/2023,15:17:07,78.26485,76.90547,75.10079,74.59298,25.17403,-8.30E-03,244.4042,0.2982093
1,Pinned Plate,10,9/12/2023,15:17:27,79.14767,77.84297,75.96797,75.39766,25.12324,-8.30E-03,244.3372,0.2981487
1,Pinned Plate,11,9/12/2023,15:17:48,80.09298,78.78829,77.00703,76.56954,25.13106,-8.30E-03,244.3668,0.2981487
1,Pinned Plate,12,9/12/2023,15:18:09,80.97578,79.77267,77.95235,77.40548,25.13887,-8.30E-03,244.475,0.298275
1,Pinned Plate,13,9/12/2023,15:18:29,81.93672,80.68674,78.84297,78.28048,25.13887,-8.30E-03,244.4415,0.2981487
1,Pinned Plate,14,9/12/2023,15:18:50,82.65548,81.41329,79.50705,78.9836,25.16621,-8.76E-03,244.1557,0.2977749
1,Pinned Plate,15,9/12/2023,15:19:11,78.74922,71.32735,68.57736,64.80391,25.15059,10.93444,244.137,0.2979012
1,Pinned Plate,16,9/12/2023,15:19:31,73.67112,64.68674,62.09981,58.77951,25.15059,10.76329,244.1183,0.2980881
1,Pinned Plate,17,9/12/2023,15:19:52,69.55392,60.25606,57.69357,54.66231,25.15059,10.65506,244.2406,0.2984013
1,Pinned Plate,18,9/12/2023,15:20:13,64.9211,56.12325,53.53732,50.89668,25.12324,11.07735,244.204,0.298275
